Date,Open,High,Low,Close
07/31/2025,"24,642.25","24,956.50","24,635.00","24,768.35"
07/30/2025,"24,890.40","24,902.30","24,771.95","24,855.05"
07/29/2025,"24,609.65","24,847.15","24,598.60","24,821.10"
07/28/2025,"24,782.45","24,889.20","24,646.60","24,680.90"
07/25/2025,"25,010.35","25,010.35","24,806.35","24,837.00"
07/24/2025,"25,243.30","25,246.25","25,018.70","25,062.10"
07/23/2025,"25,139.35","25,233.50","25,085.50","25,219.90"
07/22/2025,"25,166.65","25,182.00","25,035.55","25,060.90"
07/21/2025,"24,999.00","25,111.40","24,882.30","25,090.70"
07/18/2025,"25,108.55","25,144.60","24,918.65","24,968.40"
07/17/2025,"25,230.75","25,238.35","25,101.00","25,111.45"
07/16/2025,"25,196.60","25,255.30","25,121.05","25,212.05"
07/15/2025,"25,089.50","25,245.20","25,088.45","25,195.80"
07/14/2025,"25,149.50","25,151.10","25,001.95","25,082.30"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
